Sample,Stim,Culture,Donor,Fold exp,CAR,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
D3:1,1.2,D,AC3,154.5,44.3,2.339100346,13.5,9.8,60.9,15.8,99.7,17.9,46.5,21.9,19.7,11.8,29.9,10.5,46,13.5,99.7,54.5,24.6,4.2,60.6,10.7
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:10,0,T,AC3,180.5,21.2,0.932405567,4.32,31.4,13,51.3,60.2,2.04,27.6,13.7,24.6,34.1,6.87,44.8,14.1,34.2,58.7,5.67,6.8,1.68,60.1,31.4
T1:20,0,T,AC3,76.5,20.6,0.853053435,4.46,29.9,12.6,53.1,58.4,1.93,25.3,14.6,24.7,35.4,5.69,44.2,14.1,36,55.6,6.37,6.58,1.53,58.1,33.7
0.02,0.24,A,AC3,91.5,21.7,0.915354331,4.85,22.5,15.6,57.1,76.1,1.31,19,20.4,19,41.6,6.37,28.5,19.7,45.4,81.1,7.27,4.94,1.86,49.8,43.4
0.05,0.6,A,AC3,261.5,27.9,1.475949367,6.78,20.8,25.9,46.5,88.5,1.93,22.8,17.7,23.5,36.1,10.6,22,32.2,35.2,93.4,15.6,7.18,2.55,59.2,31.1
0.1,1.2,A,AC3,277.5,34.6,1.814492754,10,15.3,38.7,35.9,95.9,2.34,30.2,20.2,22.1,27.5,16.4,14.6,41.2,27.8,98.5,24.9,14.6,3.28,62.1,20
0.15,1.8,A,AC3,231.5,34.1,1.978593272,9.69,9.11,50.6,30.6,97.6,2.98,34.2,24.6,18.3,22.9,16.5,11.4,45.4,26.7,98.7,30.9,21.4,3.76,60.7,14.1
0.2,2.4,A,AC3,231.5,34.5,2.395104895,10.2,8.26,59.1,22.4,99.2,5.56,35,29.9,15.2,19.8,16.5,11.1,49.2,23.1,99.4,43.7,24.1,5.07,56.4,14.4
